text,department,sentiment
"No water supply in our area for last 3 days, please resolve urgently","Water","Urgent"
"Water is coming very dirty and smells bad","Water","Negative"
"Low water pressure in the morning hours","Water","Negative"
"Thank you for restoring water supply quickly","Water","Positive"
"Pipeline leakage near main road causing wastage","Water","Urgent"
"No electricity since last night in our locality","Electricity","Urgent"
"Frequent power cuts during evening time","Electricity","Negative"
"Voltage fluctuation damaging appliances","Electricity","Negative"
"Electricity restored quickly, good service","Electricity","Positive"
"Street lights not working in sector 12","Electricity","Negative"
"Garbage not collected for a week, area becoming unhygienic","Sanitation","Urgent"
"Overflowing dustbins near market area","Sanitation","Negative"
"Sewage smell coming due to garbage pile","Sanitation","Negative"
"Sanitation team did a good cleaning job today","Sanitation","Positive"
"Dead animal lying on road not removed","Sanitation","Urgent"
"Road full of potholes causing accidents","Roads","Urgent"
"Road repair work is incomplete and dangerous","Roads","Negative"
"New road constructed properly, good work","Roads","Positive"
"Heavy traffic due to broken road condition","Roads","Negative"
"Street construction work left halfway","Roads","Negative"
"No buses available during peak hours","Transport","Negative"
"Bus service improved recently, thank you","Transport","Positive"
"Auto drivers refusing to go short distances","Transport","Negative"
"Metro station escalator not working","Transport","Negative"
"Public transport connectivity needs improvement","Transport","Neutral"
"Drainage blockage causing waterlogging","Drainage","Urgent"
"Sewage water overflowing on streets","Drainage","Urgent"
"Drain cleaning not done regularly","Drainage","Negative"
"Drainage system improved after maintenance","Drainage","Positive"
"Rainwater not draining properly from roads","Drainage","Negative"
"Bijli nahi hai kal raat se please fix","Electricity","Urgent"
"Paani supply bahut kam aa raha hai","Water","Negative"
"Kachra bahut jama ho gaya hai gali mein","Sanitation","Urgent"
"Sadak bahut kharab hai gaadi chalana mushkil","Roads","Negative"
"Drain block ho gaya hai paani bhar gaya","Drainage","Urgent"
"Street light repair kar diya thanks","Electricity","Positive"
"Water tanker not arrived today","Water","Negative"
"Garbage collection vehicle skipped our area","Sanitation","Negative"
"Road divider broken and dangerous","Roads","Urgent"
"Bus timing not followed properly","Transport","Negative"
"Drain overflow after rain every time","Drainage","Negative"